 (     1.565343512542431   ;    6.0539206501588865   )  ( 2.5714341632894 ;    5.926274437846154   )     
    (     1.1057182499598985     ; 5.248355155260742 )      (     4.856145007597514  ;     6.6303609908671035   )    
  (    6.598640565872182  ;   9.602360398543535  )       ( 8.504443608806497    ;   1.0293390696456763 ) 
 (     9.973445069849813     ;     7.094242667131395     )     (   9.97008760380863 ;   10.013074020204753   )     
    (   7.338393876428131 ;    5.146108581584404   )          (   5.072681871824953 ;     6.669290645650205  )    
 (    7.020531564700252   ;    2.4698734590211595   )         (     7.994565553375754 ;    1.4303628160920336    )  
    (   10.76960434979732    ; 8.76483181593592 )     (    5.9417618282751405     ;    7.571664659466558 )     
  (     3.1260404115180433  ;     7.2667920223670865   )        (     4.468990229132284    ;  2.0614860899744363     )   
    ( 3.9529941368223076 ;     5.148770115528029   )      (    8.468741117830316     ; 6.762509917419739    )    
    (    9.132451221450822 ;   6.773249403916974   )       (     3.824413144546721  ;     4.984850313932627 )   
   ( 4.425397983432079  ;    4.796001019028594     )      (    4.727512273704939 ;   8.390655841825314 )  
     (   7.496051386703741 ;  4.121466979289186   )    (   1.6589154315951917     ;     9.250273689820013   )     
 (  3.1001531276097163     ;    3.709706585779336 )    (  5.034193336740732  ;     3.0499768312824562   )    
     (    6.437326219651018  ;   1.2349041380872952 )       (   9.512999591061053   ;     6.451253433908669    )    
     (   9.667491468787166   ; 5.595439087880155 )   (    3.9725188047688844  ; 5.601658744382474   )     
    (     6.5913504703049 ;  2.275521386907652  )      ( 2.144979938982895   ; 9.797230416579167  )    
  ( 10.494927900190994     ;     6.55838539842186  )     (    8.919230023178681  ;     5.496464228577328     )     
   (    10.158178092898186  ;    9.59104855599467  )      (   7.306372494308997 ;    5.68585488234457 )     
 (    9.027652999777795  ;  2.3006332051111382 )      ( 1.0694659107622886 ; 9.596997490254614     )    
 (  2.5532335398357655   ;  2.162248572800645  )   (     8.01728654293241   ;   7.775252505150577  )     
   ( 8.688922480167026 ;   7.8184374101600405   )        (     8.962153126765974     ;     7.499971635262844   ) 
   (  6.557701453771331 ; 6.550183955007503 )         (  7.341814301828002   ; 3.5562894378472736 )   
  (     8.280448463966117     ;    9.59948477928903  )     (   4.50539761629875  ;     9.358473066457407  )  
